Date,Day,Month,River,Gen_Dam,Wind,Rainfall,Rank_Dam,New_Rainfall
4/2/2013,2,April,"Sungai Galas, Dabong",33,20,3,2,3
4/3/2013,3,April,"Sungai Galas, Dabong",33,13,3,2,2
4/4/2013,4,April,"Sungai Galas, Dabong",33,6,3,2,1
4/5/2013,5,April,"Sungai Galas, Dabong",33,0,3,2,1
4/6/2013,6,April,"Sungai Galas, Dabong",33,10,3,2,1
4/7/2013,7,April,"Sungai Galas, Dabong",33,3,3,2,3
4/8/2013,8,April,"Sungai Galas, Dabong",33,8,3,2,0
4/9/2013,9,April,"Sungai Galas, Dabong",33,19,3,2,1
4/10/2013,10,April,"Sungai Galas, Dabong",33,9,3,2,2
4/11/2013,11,April,"Sungai Galas, Dabong",33,8,2,2,2
4/12/2013,12,April,"Sungai Galas, Dabong",33,10,2,2,0
4/13/2013,13,April,"Sungai Galas, Dabong",33,13,2,2,1
4/14/2013,14,April,"Sungai Galas, Dabong",33,21,2,2,2
4/15/2013,15,April,"Sungai Galas, Dabong",32,9,2,2,4
4/16/2013,16,April,"Sungai Galas, Dabong",32,18,2,2,3
4/17/2013,17,April,"Sungai Galas, Dabong",32,10,2,2,0
4/18/2013,18,April,"Sungai Galas, Dabong",32,1,2,2,0
4/19/2013,19,April,"Sungai Galas, Dabong",32,1,2,2,2
4/20/2013,20,April,"Sungai Galas, Dabong",32,10,2,2,1
4/21/2013,21,April,"Sungai Galas, Dabong",32,10,2,2,4
4/22/2013,22,April,"Sungai Galas, Dabong",32,7,2,2,3
4/23/2013,23,April,"Sungai Galas, Dabong",32,18,2,2,0
4/24/2013,24,April,"Sungai Galas, Dabong",32,0,2,2,0
4/25/2013,25,April,"Sungai Galas, Dabong",32,3,2,2,6
4/26/2013,26,April,"Sungai Galas, Dabong",32,5,2,2,0
4/27/2013,27,April,"Sungai Galas, Dabong",32,20,2,2,0
4/28/2013,28,April,"Sungai Galas, Dabong",31,9,2,1,2
4/29/2013,29,April,"Sungai Galas, Dabong",31,17,2,1,2
4/30/2013,30,April,"Sungai Galas, Dabong",31,3,2,1,2
5/1/2013,1,May,"Sungai Galas, Dabong",31,7,2,1,0
5/2/2013,2,May,"Sungai Galas, Dabong",31,12,2,1,2
5/3/2013,3,May,"Sungai Galas, Dabong",31,5,2,1,0
5/4/2013,4,May,"Sungai Galas, Dabong",31,17,2,1,0
5/5/2013,5,May,"Sungai Galas, Dabong",31,9,2,1,0
5/6/2013,6,May,"Sungai Galas, Dabong",31,18,2,1,1
5/7/2013,7,May,"Sungai Galas, Dabong",31,7,2,1,0
5/8/2013,8,May,"Sungai Galas, Dabong",30,3,2,1,2
5/9/2013,9,May,"Sungai Galas, Dabong",30,9,2,1,3
5/10/2013,10,May,"Sungai Galas, Dabong",30,4,2,1,0
5/11/2013,11,May,"Sungai Galas, Dabong",30,19,2,1,0
5/12/2013,12,May,"Sungai Galas, Dabong",30,2,2,1,4
5/13/2013,13,May,"Sungai Galas, Dabong",30,5,2,1,1
5/14/2013,14,May,"Sungai Galas, Dabong",30,0,2,1,0
5/15/2013,15,May,"Sungai Galas, Dabong",30,5,2,1,4
5/16/2013,16,May,"Sungai Galas, Dabong",29,2,2,1,2
5/17/2013,17,May,"Sungai Galas, Dabong",29,19,2,1,0
5/18/2013,18,May,"Sungai Galas, Dabong",29,12,2,1,0
5/19/2013,19,May,"Sungai Galas, Dabong",29,20,2,1,4
5/20/2013,20,May,"Sungai Galas, Dabong",29,16,2,1,2
5/21/2013,21,May,"Sungai Galas, Dabong",29,0,2,1,3
5/22/2013,22,May,"Sungai Galas, Dabong",29,14,2,1,4
5/23/2013,23,May,"Sungai Galas, Dabong",29,8,2,1,0
5/24/2013,24,May,"Sungai Galas, Dabong",29,18,2,1,3
5/25/2013,25,May,"Sungai Galas, Dabong",28,17,2,1,0
5/26/2013,26,May,"Sungai Galas, Dabong",28,8,2,1,5
5/27/2013,27,May,"Sungai Galas, Dabong",28,9,2,1,0
5/28/2013,28,May,"Sungai Galas, Dabong",28,5,1,1,0
5/29/2013,29,May,"Sungai Galas, Dabong",28,17,1,1,2
5/30/2013,30,May,"Sungai Galas, Dabong",28,17,1,1,5
5/31/2013,31,May,"Sungai Galas, Dabong",28,10,1,1,3
6/1/2013,1,June,"Sungai Galas, Dabong",28,12,1,1,4
6/2/2013,2,June,"Sungai Galas, Dabong",28,13,1,1,2
6/3/2013,3,June,"Sungai Galas, Dabong",28,6,1,1,1
6/4/2013,4,June,"Sungai Galas, Dabong",27,1,1,1,1
6/5/2013,5,June,"Sungai Galas, Dabong",27,19,1,1,0
6/6/2013,6,June,"Sungai Galas, Dabong",27,14,1,1,0
6/7/2013,7,June,"Sungai Galas, Dabong",27,18,1,1,3
6/8/2013,8,June,"Sungai Galas, Dabong",27,13,1,1,2
6/9/2013,9,June,"Sungai Galas, Dabong",27,13,1,1,0
6/10/2013,10,June,"Sungai Galas, Dabong",27,8,1,1,0
6/11/2013,11,June,"Sungai Galas, Dabong",27,8,1,1,1
6/12/2013,12,June,"Sungai Galas, Dabong",27,2,1,1,2
6/13/2013,13,June,"Sungai Galas, Dabong",26,3,1,1,0
6/14/2013,14,June,"Sungai Galas, Dabong",26,12,1,1,1
6/15/2013,15,June,"Sungai Galas, Dabong",26,7,1,1,0
6/16/2013,16,June,"Sungai Galas, Dabong",26,19,1,1,1
6/17/2013,17,June,"Sungai Galas, Dabong",26,4,1,1,0
6/18/2013,18,June,"Sungai Galas, Dabong",26,17,1,1,2
6/19/2013,19,June,"Sungai Galas, Dabong",26,9,1,1,0
6/20/2013,20,June,"Sungai Galas, Dabong",25,12,1,1,1
6/21/2013,21,June,"Sungai Galas, Dabong",25,0,1,1,0
6/22/2013,22,June,"Sungai Galas, Dabong",25,4,1,1,0
6/23/2013,23,June,"Sungai Galas, Dabong",25,16,1,1,1
6/24/2013,24,June,"Sungai Galas, Dabong",25,16,1,1,1
6/25/2013,25,June,"Sungai Galas, Dabong",25,15,1,1,0
6/26/2013,26,June,"Sungai Galas, Dabong",25,8,1,1,0
6/27/2013,27,June,"Sungai Galas, Dabong",25,9,1,1,4
6/28/2013,28,June,"Sungai Galas, Dabong",25,8,1,1,3
6/29/2013,29,June,"Sungai Galas, Dabong",25,9,1,1,3
6/30/2013,30,June,"Sungai Galas, Dabong",25,14,1,1,2
7/1/2013,1,July,"Sungai Galas, Dabong",25,4,1,1,4
7/2/2013,2,July,"Sungai Galas, Dabong",25,19,1,1,1
7/3/2013,3,July,"Sungai Galas, Dabong",25,3,1,1,1
7/4/2013,4,July,"Sungai Galas, Dabong",25,2,1,1,1
7/5/2013,5,July,"Sungai Galas, Dabong",25,15,1,1,1
7/6/2013,6,July,"Sungai Galas, Dabong",25,0,1,1,2
7/7/2013,7,July,"Sungai Galas, Dabong",25,5,1,1,0
7/8/2013,8,July,"Sungai Galas, Dabong",25,17,1,1,2
7/9/2013,9,July,"Sungai Galas, Dabong",25,0,1,1,3
7/10/2013,10,July,"Sungai Galas, Dabong",25,10,1,1,0
7/11/2013,11,July,"Sungai Galas, Dabong",25,0,1,1,4
7/12/2013,12,July,"Sungai Galas, Dabong",25,7,1,1,0
7/13/2013,13,July,"Sungai Galas, Dabong",25,1,1,1,0
7/14/2013,14,July,"Sungai Galas, Dabong",25,17,1,1,0
7/15/2013,15,July,"Sungai Galas, Dabong",25,16,1,1,0
7/16/2013,16,July,"Sungai Galas, Dabong",25,6,1,1,0
7/17/2013,17,July,"Sungai Galas, Dabong",26,20,1,1,1
7/18/2013,18,July,"Sungai Galas, Dabong",26,17,1,1,0
7/19/2013,19,July,"Sungai Galas, Dabong",26,15,1,1,3
7/20/2013,20,July,"Sungai Galas, Dabong",26,5,1,1,3
7/21/2013,21,July,"Sungai Galas, Dabong",26,3,1,1,2
7/22/2013,22,July,"Sungai Galas, Dabong",26,9,1,1,0
7/23/2013,23,July,"Sungai Galas, Dabong",26,6,1,1,0
7/24/2013,24,July,"Sungai Galas, Dabong",26,3,1,1,0
7/25/2013,25,July,"Sungai Galas, Dabong",26,20,1,1,1
7/26/2013,26,July,"Sungai Galas, Dabong",26,1,2,1,0
7/27/2013,27,July,"Sungai Galas, Dabong",26,5,2,1,1
7/28/2013,28,July,"Sungai Galas, Dabong",26,14,2,1,0
7/29/2013,29,July,"Sungai Galas, Dabong",26,5,2,1,4
7/30/2013,30,July,"Sungai Galas, Dabong",26,16,2,1,3
7/31/2013,31,July,"Sungai Galas, Dabong",27,19,2,1,4
8/1/2013,1,August,"Sungai Galas, Dabong",27,6,2,1,0
8/2/2013,2,August,"Sungai Galas, Dabong",27,13,2,1,1
8/3/2013,3,August,"Sungai Galas, Dabong",27,12,2,1,5
8/4/2013,4,August,"Sungai Galas, Dabong",27,5,2,1,2
8/5/2013,5,August,"Sungai Galas, Dabong",27,9,2,1,4
8/6/2013,6,August,"Sungai Galas, Dabong",27,2,2,1,3
8/7/2013,7,August,"Sungai Galas, Dabong",28,16,2,1,3
8/8/2013,8,August,"Sungai Galas, Dabong",28,16,2,1,0
8/9/2013,9,August,"Sungai Galas, Dabong",28,17,2,1,0
8/10/2013,10,August,"Sungai Galas, Dabong",28,0,2,1,2
8/11/2013,11,August,"Sungai Galas, Dabong",28,16,2,1,2
8/12/2013,12,August,"Sungai Galas, Dabong",28,16,2,1,1
8/13/2013,13,August,"Sungai Galas, Dabong",28,7,2,1,6
8/14/2013,14,August,"Sungai Galas, Dabong",28,20,2,1,3
8/15/2013,15,August,"Sungai Galas, Dabong",28,8,2,1,0
8/16/2013,16,August,"Sungai Galas, Dabong",28,1,2,1,1
8/17/2013,17,August,"Sungai Galas, Dabong",29,13,2,1,0
8/18/2013,18,August,"Sungai Galas, Dabong",29,21,2,1,4
8/19/2013,19,August,"Sungai Galas, Dabong",29,11,2,1,3
8/20/2013,20,August,"Sungai Galas, Dabong",29,11,2,1,0
8/21/2013,21,August,"Sungai Galas, Dabong",29,7,2,1,3
8/22/2013,22,August,"Sungai Galas, Dabong",29,9,2,1,3
8/23/2013,23,August,"Sungai Galas, Dabong",29,17,2,1,0
8/24/2013,24,August,"Sungai Galas, Dabong",29,2,2,1,3
8/25/2013,25,August,"Sungai Galas, Dabong",29,0,2,1,2
8/26/2013,26,August,"Sungai Galas, Dabong",29,5,2,1,1
8/27/2013,27,August,"Sungai Galas, Dabong",30,16,2,1,0
8/28/2013,28,August,"Sungai Galas, Dabong",30,3,2,1,1
8/29/2013,29,August,"Sungai Galas, Dabong",30,13,2,1,1
8/30/2013,30,August,"Sungai Galas, Dabong",30,12,3,1,2
8/31/2013,31,August,"Sungai Galas, Dabong",30,8,3,1,2
9/1/2013,1,September,"Sungai Galas, Dabong",30,14,3,1,0
9/2/2013,2,September,"Sungai Galas, Dabong",30,12,3,1,1
9/3/2013,3,September,"Sungai Galas, Dabong",30,8,3,1,1
9/4/2013,4,September,"Sungai Galas, Dabong",30,4,3,1,0
9/5/2013,5,September,"Sungai Galas, Dabong",30,13,3,1,3
9/6/2013,6,September,"Sungai Galas, Dabong",31,9,3,1,0
9/7/2013,7,September,"Sungai Galas, Dabong",31,5,3,1,1
9/8/2013,8,September,"Sungai Galas, Dabong",31,11,3,1,0
9/9/2013,9,September,"Sungai Galas, Dabong",31,19,3,1,1
9/10/2013,10,September,"Sungai Galas, Dabong",31,3,3,1,2
9/11/2013,11,September,"Sungai Galas, Dabong",31,18,3,1,1
9/12/2013,12,September,"Sungai Galas, Dabong",31,0,3,1,0
9/13/2013,13,September,"Sungai Galas, Dabong",31,8,3,1,0
9/14/2013,14,September,"Sungai Galas, Dabong",31,2,3,1,3
9/15/2013,15,September,"Sungai Galas, Dabong",31,21,3,1,0
9/16/2013,16,September,"Sungai Galas, Dabong",31,14,3,1,1
9/17/2013,17,September,"Sungai Galas, Dabong",32,14,3,2,0
9/18/2013,18,September,"Sungai Galas, Dabong",32,10,3,2,1
9/19/2013,19,September,"Sungai Galas, Dabong",32,13,3,2,0
9/20/2013,20,September,"Sungai Galas, Dabong",32,8,3,2,0
9/21/2013,21,September,"Sungai Galas, Dabong",32,3,3,2,0
9/22/2013,22,September,"Sungai Galas, Dabong",32,19,3,2,2
9/23/2013,23,September,"Sungai Galas, Dabong",32,14,3,2,1
9/24/2013,24,September,"Sungai Galas, Dabong",32,17,3,2,2
9/25/2013,25,September,"Sungai Galas, Dabong",33,18,3,2,1
9/26/2013,26,September,"Sungai Galas, Dabong",33,14,3,2,0
9/27/2013,27,September,"Sungai Galas, Dabong",33,0,3,2,0
9/28/2013,28,September,"Sungai Galas, Dabong",33,2,3,2,0
9/29/2013,29,September,"Sungai Galas, Dabong",33,2,3,2,2
9/30/2013,30,September,"Sungai Galas, Dabong",33,13,3,2,1
10/1/2013,1,October,"Sungai Galas, Dabong",33,8,3,2,2
10/2/2013,2,October,"Sungai Galas, Dabong",33,4,3,2,1
10/3/2013,3,October,"Sungai Galas, Dabong",33,12,3,2,2
10/4/2013,4,October,"Sungai Galas, Dabong",33,10,3,2,0
10/5/2013,5,October,"Sungai Galas, Dabong",33,2,3,2,1
10/6/2013,6,October,"Sungai Galas, Dabong",33,15,3,2,0
10/7/2013,7,October,"Sungai Galas, Dabong",34,14,4,2,2
10/8/2013,8,October,"Sungai Galas, Dabong",34,0,4,2,3
10/9/2013,9,October,"Sungai Galas, Dabong",34,12,4,2,2
10/10/2013,10,October,"Sungai Galas, Dabong",34,4,4,2,0
10/11/2013,11,October,"Sungai Galas, Dabong",34,14,4,2,2
10/12/2013,12,October,"Sungai Galas, Dabong",34,6,4,2,0
10/13/2013,13,October,"Sungai Galas, Dabong",34,8,4,2,2
10/14/2013,14,October,"Sungai Galas, Dabong",34,12,4,2,3
10/15/2013,15,October,"Sungai Galas, Dabong",34,3,4,2,0
10/16/2013,16,October,"Sungai Galas, Dabong",34,10,4,2,6
10/17/2013,17,October,"Sungai Galas, Dabong",34,21,4,2,3
10/18/2013,18,October,"Sungai Galas, Dabong",34,21,4,2,0
10/19/2013,19,October,"Sungai Galas, Dabong",34,3,4,2,1
10/20/2013,20,October,"Sungai Galas, Dabong",34,13,4,2,0
10/21/2013,21,October,"Sungai Galas, Dabong",34,6,4,2,0
10/22/2013,22,October,"Sungai Galas, Dabong",34,21,4,2,0
10/23/2013,23,October,"Sungai Galas, Dabong",35,14,4,3,1
10/24/2013,24,October,"Sungai Galas, Dabong",35,21,4,3,2
10/25/2013,25,October,"Sungai Galas, Dabong",35,4,4,3,0
10/26/2013,26,October,"Sungai Galas, Dabong",35,18,4,3,0
10/27/2013,27,October,"Sungai Galas, Dabong",35,21,4,3,0
10/28/2013,28,October,"Sungai Galas, Dabong",35,8,4,3,0
10/29/2013,29,October,"Sungai Galas, Dabong",35,17,4,3,2
10/30/2013,30,October,"Sungai Galas, Dabong",35,8,4,3,1
10/31/2013,31,October,"Sungai Galas, Dabong",35,6,4,3,2
11/1/2013,1,November,"Sungai Galas, Dabong",35,11,4,3,0
11/2/2013,2,November,"Sungai Galas, Dabong",35,14,4,3,6
11/3/2013,3,November,"Sungai Galas, Dabong",35,3,4,3,0
11/4/2013,4,November,"Sungai Galas, Dabong",35,5,4,3,1
11/5/2013,5,November,"Sungai Galas, Dabong",36,13,4,3,0
11/6/2013,6,November,"Sungai Galas, Dabong",36,20,4,3,0
11/7/2013,7,November,"Sungai Galas, Dabong",36,5,4,3,0
11/8/2013,8,November,"Sungai Galas, Dabong",36,9,4,3,0
11/9/2013,9,November,"Sungai Galas, Dabong",36,21,4,3,0
11/10/2013,10,November,"Sungai Galas, Dabong",36,11,4,3,1
11/11/2013,11,November,"Sungai Galas, Dabong",36,21,4,3,1
11/12/2013,12,November,"Sungai Galas, Dabong",36,16,4,3,1
11/13/2013,13,November,"Sungai Galas, Dabong",36,10,4,3,0
11/14/2013,14,November,"Sungai Galas, Dabong",36,4,4,3,1
11/15/2013,15,November,"Sungai Galas, Dabong",36,20,4,3,1
11/16/2013,16,November,"Sungai Galas, Dabong",36,1,4,3,0
11/17/2013,17,November,"Sungai Galas, Dabong",36,14,4,3,2
11/18/2013,18,November,"Sungai Galas, Dabong",36,10,4,3,3
11/19/2013,19,November,"Sungai Galas, Dabong",36,0,4,3,2
11/20/2013,20,November,"Sungai Galas, Dabong",36,1,5,3,0
11/21/2013,21,November,"Sungai Galas, Dabong",37,1,5,3,0
11/22/2013,22,November,"Sungai Galas, Dabong",37,9,5,3,2
11/23/2013,23,November,"Sungai Galas, Dabong",37,0,5,3,0
11/24/2013,24,November,"Sungai Galas, Dabong",37,15,5,3,0
11/25/2013,25,November,"Sungai Galas, Dabong",37,13,5,3,0
11/26/2013,26,November,"Sungai Galas, Dabong",37,7,5,3,1
11/27/2013,27,November,"Sungai Galas, Dabong",37,17,5,3,3
11/28/2013,28,November,"Sungai Galas, Dabong",37,19,5,3,1
11/29/2013,29,November,"Sungai Galas, Dabong",37,11,5,3,0
11/30/2013,30,November,"Sungai Galas, Dabong",37,8,5,3,2
12/1/2013,1,December,"Sungai Galas, Dabong",37,12,5,3,4
12/2/2013,2,December,"Sungai Galas, Dabong",37,14,5,3,2
12/3/2013,3,December,"Sungai Galas, Dabong",38,21,5,4,1
12/4/2013,4,December,"Sungai Galas, Dabong",38,2,5,4,0
12/5/2013,5,December,"Sungai Galas, Dabong",38,20,5,4,1
12/6/2013,6,December,"Sungai Galas, Dabong",38,20,5,4,0
12/7/2013,7,December,"Sungai Galas, Dabong",38,19,5,4,0
12/8/2013,8,December,"Sungai Galas, Dabong",38,3,5,4,2
12/9/2013,9,December,"Sungai Galas, Dabong",38,15,5,4,2
12/10/2013,10,December,"Sungai Galas, Dabong",38,6,5,4,0
12/11/2013,11,December,"Sungai Galas, Dabong",38,19,5,4,2
12/12/2013,12,December,"Sungai Galas, Dabong",39,7,5,4,6
12/13/2013,13,December,"Sungai Galas, Dabong",39,6,5,4,0
12/14/2013,14,December,"Sungai Galas, Dabong",39,11,5,4,2
12/15/2013,15,December,"Sungai Galas, Dabong",39,0,5,4,2
12/16/2013,16,December,"Sungai Galas, Dabong",39,19,5,4,0
12/17/2013,17,December,"Sungai Galas, Dabong",39,12,5,4,4
12/18/2013,18,December,"Sungai Galas, Dabong",39,21,5,4,3
12/19/2013,19,December,"Sungai Galas, Dabong",40,4,5,4,2
12/20/2013,20,December,"Sungai Galas, Dabong",40,7,5,4,2
12/21/2013,21,December,"Sungai Galas, Dabong",40,11,5,4,0
12/22/2013,22,December,"Sungai Galas, Dabong",40,10,5,4,1
12/23/2013,23,December,"Sungai Galas, Dabong",40,7,5,4,2
12/24/2013,24,December,"Sungai Galas, Dabong",40,0,5,4,3
12/25/2013,25,December,"Sungai Galas, Dabong",40,3,5,4,6
12/26/2013,26,December,"Sungai Galas, Dabong",40,2,5,4,2
12/27/2013,27,December,"Sungai Galas, Dabong",40,18,5,4,0
12/28/2013,28,December,"Sungai Galas, Dabong",40,3,5,4,0
12/29/2013,29,December,"Sungai Galas, Dabong",40,20,5,4,5
12/30/2013,30,December,"Sungai Galas, Dabong",40,10,5,4,2
12/31/2013,31,December,"Sungai Galas, Dabong",40,19,5,4,0
1/1/2014,1,January,"Sungai Galas, Dabong",46.88,0.9,2,4,0
1/2/2014,2,January,"Sungai Galas, Dabong",44.92,1.1,2,4,1
1/3/2014,3,January,"Sungai Galas, Dabong",40.02,0.7,2,4,2
1/4/2014,4,January,"Sungai Galas, Dabong",39.91,0.8,2,4,0
1/5/2014,5,January,"Sungai Galas, Dabong",39.45,0.8,2,4,0
1/6/2014,6,January,"Sungai Galas, Dabong",39.2,0.8,2,4,1
1/7/2014,7,January,"Sungai Galas, Dabong",39.12,0.8,2,4,2
1/8/2014,8,January,"Sungai Galas, Dabong",37.61,0.8,2,3,1
1/9/2014,9,January,"Sungai Galas, Dabong",37.49,0.9,2,3,1
1/10/2014,10,January,"Sungai Galas, Dabong",36.61,0.9,2,3,0
1/11/2014,11,January,"Sungai Galas, Dabong",36.33,1,2,3,2
1/12/2014,12,January,"Sungai Galas, Dabong",35.62,0.9,2,3,2
1/13/2014,13,January,"Sungai Galas, Dabong",35.51,0.8,2,3,1
1/14/2014,14,January,"Sungai Galas, Dabong",35.5,0.6,2,3,0
1/15/2014,15,January,"Sungai Galas, Dabong",35.37,0.7,2,3,1
1/16/2014,16,January,"Sungai Galas, Dabong",35.3,0.5,2,3,1
1/17/2014,17,January,"Sungai Galas, Dabong",35.22,0.5,2,3,0
1/18/2014,18,January,"Sungai Galas, Dabong",35,0.8,2,3,2
1/19/2014,19,January,"Sungai Galas, Dabong",34.79,0.8,2,2,2
1/20/2014,20,January,"Sungai Galas, Dabong",34.54,0.9,2,2,1
1/21/2014,21,January,"Sungai Galas, Dabong",34.48,0.9,2,2,0
1/22/2014,22,January,"Sungai Galas, Dabong",34.46,1.2,2,2,0
1/23/2014,23,January,"Sungai Galas, Dabong",34.43,1.1,2,2,0
1/24/2014,24,January,"Sungai Galas, Dabong",34.39,0.9,2,2,1
1/25/2014,25,January,"Sungai Galas, Dabong",34.21,0.8,2,2,0
1/26/2014,26,January,"Sungai Galas, Dabong",34.08,0.7,1,2,2
1/27/2014,27,January,"Sungai Galas, Dabong",34.08,0.8,1,2,0
1/28/2014,28,January,"Sungai Galas, Dabong",33.94,1.1,1,2,0
1/29/2014,29,January,"Sungai Galas, Dabong",33.83,0.7,1,2,4
